time,wx (rad/s),wy (rad/s),wz (rad/s)
0.524325,0.09,-0.09,-0.15
0.527235,0.06,-0.08,-0.13
0.528133,0.03,-0.07,-0.11
0.534574,0.01,-0.07,-0.10
0.535263,-0.03,-0.06,-0.07
0.535619,-0.06,-0.05,-0.05
0.535993,-0.08,-0.06,-0.03
0.539320,-0.12,-0.06,-0.00
0.539982,-0.15,-0.07,0.02
0.542324,-0.17,-0.07,0.04
0.544325,-0.21,-0.08,0.06
0.547327,-0.25,-0.09,0.08
0.547749,-0.27,-0.10,0.10
0.551220,-0.30,-0.11,0.12
0.551945,-0.34,-0.12,0.13
0.555291,-0.36,-0.13,0.13
0.555634,-0.39,-0.15,0.15
0.558391,-0.42,-0.16,0.16
0.560612,-0.43,-0.16,0.17
0.562475,-0.46,-0.17,0.18
0.564971,-0.48,-0.18,0.18
0.566600,-0.49,-0.18,0.18
0.568545,-0.51,-0.20,0.16
0.570528,-0.52,-0.20,0.14
0.572057,-0.52,-0.20,0.13
0.574306,-0.53,-0.20,0.12
0.576028,-0.54,-0.18,0.11
0.578065,-0.54,-0.18,0.10
0.582760,-0.54,-0.18,0.09
0.583434,-0.55,-0.18,0.07
0.583793,-0.55,-0.18,0.06
0.586350,-0.56,-0.18,0.03
0.588154,-0.56,-0.19,0.02
0.590160,-0.56,-0.20,-0.04
0.592282,-0.56,-0.19,-0.09
0.594212,-0.55,-0.19,-0.11
0.596520,-0.55,-0.17,-0.15
0.599349,-0.54,-0.15,-0.17
0.601211,-0.54,-0.14,-0.19
0.602879,-0.52,-0.12,-0.19
0.604381,-0.51,-0.10,-0.19
0.606258,-0.50,-0.09,-0.18
0.608527,-0.48,-0.08,-0.17
0.610519,-0.46,-0.07,-0.15
0.612039,-0.45,-0.07,-0.15
0.614574,-0.43,-0.06,-0.12
0.616491,-0.40,-0.06,-0.10
0.618646,-0.39,-0.05,-0.08
0.620561,-0.37,-0.04,-0.05
0.622247,-0.34,-0.04,-0.02
0.624274,-0.33,-0.04,0.00
0.626285,-0.30,-0.05,0.04
0.628816,-0.27,-0.07,0.07
0.635571,-0.26,-0.09,0.09
0.636318,-0.24,-0.11,0.12
0.636671,-0.20,-0.14,0.15
0.637075,-0.19,-0.15,0.16
0.638463,-0.16,-0.18,0.18
0.640873,-0.13,-0.20,0.19
0.643156,-0.12,-0.22,0.20
0.643954,-0.09,-0.24,0.20
0.648825,-0.08,-0.25,0.19
0.649598,-0.05,-0.26,0.18
0.649997,-0.03,-0.27,0.17
0.651882,-0.01,-0.27,0.16
0.653829,0.02,-0.26,0.14
0.655868,0.05,-0.24,0.11
0.658005,0.05,-0.24,0.10
0.661103,0.08,-0.21,0.06
0.661501,0.10,-0.20,0.00
0.664801,0.11,-0.19,-0.03
0.666718,0.11,-0.19,-0.10
0.668118,0.11,-0.23,-0.16
0.670030,0.11,-0.25,-0.18
0.671829,0.09,-0.29,-0.22
0.674159,0.07,-0.34,-0.26
0.675804,0.05,-0.37,-0.27
0.677795,0.03,-0.41,-0.30
0.682520,0.00,-0.46,-0.31
0.683222,-0.01,-0.48,-0.32
0.683568,-0.03,-0.53,-0.32
0.685855,-0.06,-0.58,-0.31
0.687929,-0.07,-0.61,-0.31
0.689994,-0.10,-0.66,-0.30
0.691888,-0.13,-0.72,-0.29
0.693778,-0.14,-0.74,-0.28
0.696512,-0.18,-0.81,-0.26
0.700737,-0.20,-0.84,-0.25
0.701421,-0.24,-0.91,-0.23
0.701671,-0.27,-0.97,-0.22
0.703639,-0.29,-1.01,-0.21
0.705597,-0.32,-1.08,-0.18
0.708092,-0.35,-1.15,-0.13
0.709511,-0.37,-1.18,-0.11
0.711762,-0.40,-1.24,-0.06
0.714601,-0.43,-1.30,-0.00
0.715293,-0.45,-1.33,0.02
0.717834,-0.48,-1.41,0.06
0.721701,-0.52,-1.49,0.10
0.722087,-0.54,-1.54,0.13
0.723727,-0.56,-1.67,0.17
0.725640,-0.59,-1.81,0.22
0.728707,-0.60,-1.88,0.24
0.736129,-0.63,-2.02,0.27
0.736786,-0.65,-2.13,0.29
0.737207,-0.67,-2.17,0.30
0.737570,-0.69,-2.25,0.32
0.737908,-0.72,-2.30,0.33
0.740394,-0.73,-2.32,0.34
0.742098,-0.75,-2.32,0.34
0.743992,-0.75,-2.27,0.34
0.746341,-0.76,-2.24,0.34
0.749838,-0.76,-2.16,0.34
0.750376,-0.76,-2.05,0.32
0.752243,-0.76,-1.98,0.31
0.753907,-0.75,-1.83,0.30
0.755839,-0.74,-1.66,0.28
0.757652,-0.73,-1.56,0.27
0.759513,-0.71,-1.36,0.24
0.761477,-0.71,-1.26,0.22
0.764543,-0.69,-1.06,0.18
0.765337,-0.67,-0.87,0.15
0.768185,-0.66,-0.78,0.14
0.769744,-0.63,-0.59,0.13
0.771814,-0.61,-0.40,0.10
0.773878,-0.59,-0.30,0.09
0.775530,-0.56,-0.11,0.06
0.777490,-0.53,0.08,0.03
0.781608,-0.52,0.19,0.02
0.782299,-0.49,0.38,-0.00
0.783970,-0.45,0.57,-0.03
0.785788,-0.43,0.67,-0.04
0.787750,-0.39,0.89,-0.06
0.789699,-0.35,1.10,-0.06
0.791560,-0.34,1.21,-0.07
0.793842,-0.30,1.43,-0.07
0.796571,-0.25,1.65,-0.05
0.800844,-0.23,1.75,-0.03
0.801534,-0.18,1.95,0.01
0.801839,-0.13,2.15,0.05
0.803947,-0.11,2.24,0.07
0.805707,-0.06,2.43,0.11
0.807528,-0.02,2.58,0.14
0.809618,0.00,2.66,0.16
0.811913,0.04,2.79,0.19
0.814478,0.08,2.89,0.21
0.815842,0.09,2.92,0.22
0.817967,0.12,2.97,0.23
0.820445,0.16,3.01,0.23
0.821695,0.16,3.03,0.24
0.823829,0.19,3.04,0.26
0.826048,0.21,3.02,0.27
0.828361,0.22,3.01,0.27
0.834883,0.24,2.95,0.27
0.835624,0.25,2.92,0.27
0.835978,0.26,2.85,0.27
0.836313,0.26,2.73,0.26
0.837794,0.26,2.67,0.25
0.841160,0.26,2.51,0.24
0.841581,0.25,2.31,0.21
0.843659,0.24,2.20,0.20
0.845696,0.23,1.97,0.17
0.848264,0.21,1.74,0.15
0.849998,0.20,1.62,0.13
0.851956,0.17,1.39,0.11
0.853499,0.15,1.17,0.07
0.856186,0.13,1.06,0.05
0.857652,0.11,0.87,0.00
0.860777,0.08,0.68,-0.04
0.861347,0.07,0.60,-0.06
0.864157,0.04,0.42,-0.10
0.865763,0.02,0.26,-0.14
0.867769,0.00,0.18,-0.16
0.869518,-0.02,0.04,-0.21
0.871489,-0.05,-0.08,-0.29
0.873565,-0.06,-0.13,-0.33
0.875385,-0.08,-0.23,-0.39
0.877195,-0.11,-0.31,-0.43
0.881624,-0.12,-0.34,-0.45
0.882310,-0.14,-0.39,-0.47
0.883637,-0.15,-0.40,-0.48
0.885680,-0.16,-0.41,-0.47
0.887289,-0.17,-0.41,-0.45
0.889502,-0.18,-0.42,-0.44
0.891226,-0.19,-0.40,-0.41
0.893284,-0.20,-0.38,-0.36
0.895527,-0.20,-0.37,-0.34
0.897698,-0.21,-0.33,-0.28
0.900628,-0.22,-0.28,-0.22
0.901086,-0.22,-0.25,-0.19
0.903509,-0.23,-0.20,-0.13
0.905845,-0.23,-0.15,-0.07
0.907550,-0.24,-0.13,-0.05
0.909426,-0.24,-0.08,-0.00
0.911281,-0.25,-0.03,0.04
0.914742,-0.25,-0.01,0.05
0.915506,-0.26,0.03,0.08
0.917430,-0.26,0.08,0.09
0.919291,-0.27,0.10,0.10
0.920639,-0.28,0.13,0.11
0.923474,-0.29,0.15,0.11
0.924911,-0.30,0.18,0.12
0.927203,-0.31,0.21,0.12
0.929705,-0.31,0.23,0.12
0.937349,-0.33,0.24,0.12
0.938047,-0.34,0.26,0.11
0.938379,-0.35,0.27,0.11
0.938720,-0.37,0.28,0.10
0.939774,-0.38,0.30,0.10
0.941968,-0.39,0.30,0.10
0.942282,-0.40,0.33,0.09
0.944905,-0.42,0.35,0.08
0.947852,-0.43,0.36,0.07
0.948856,-0.45,0.37,0.06
0.950687,-0.47,0.37,0.05
0.952827,-0.48,0.36,0.04
0.954779,-0.50,0.35,0.02
0.956669,-0.52,0.32,0.01
0.958668,-0.54,0.30,0.00
0.961048,-0.56,0.28,-0.02
0.963526,-0.57,0.26,-0.02
0.964925,-0.59,0.23,-0.04
0.966786,-0.61,0.20,-0.05
0.968966,-0.62,0.18,-0.06
0.970688,-0.65,0.13,-0.07
0.972575,-0.68,0.08,-0.08
0.974735,-0.69,0.05,-0.09
0.976629,-0.72,-0.01,-0.10
0.979303,-0.74,-0.07,-0.10
0.981761,-0.75,-0.10,-0.11
0.982364,-0.78,-0.16,-0.11
0.984600,-0.80,-0.21,-0.12
0.986854,-0.81,-0.24,-0.12
0.988550,-0.83,-0.30,-0.13
0.990702,-0.85,-0.35,-0.14
0.992574,-0.86,-0.38,-0.14
0.994615,-0.88,-0.43,-0.15
0.997102,-0.89,-0.47,-0.16
0.998990,-0.90,-0.49,-0.16
1.001538,-0.92,-0.54,-0.16
1.002857,-0.93,-0.58,-0.16
1.004778,-0.93,-0.59,-0.16
1.006934,-0.94,-0.62,-0.15
1.008976,-0.95,-0.64,-0.15
1.011574,-0.95,-0.65,-0.15
1.014932,-0.95,-0.67,-0.14
1.015596,-0.96,-0.67,-0.14
1.016853,-0.96,-0.68,-0.14
1.018872,-0.96,-0.68,-0.13
1.021373,-0.96,-0.69,-0.12
1.023083,-0.95,-0.69,-0.11
1.024771,-0.94,-0.69,-0.11
1.027628,-0.94,-0.70,-0.10
1.035616,-0.92,-0.70,-0.09
1.036213,-0.90,-0.70,-0.08
1.036486,-0.89,-0.70,-0.07
1.036780,-0.87,-0.69,-0.05
1.037147,-0.85,-0.68,-0.03
1.040581,-0.83,-0.67,-0.03
1.041782,-0.80,-0.65,-0.00
1.050230,-0.76,-0.63,0.02
1.050815,-0.74,-0.61,0.03
1.051086,-0.69,-0.59,0.05
1.051385,-0.65,-0.56,0.07
1.063316,-0.62,-0.55,0.08
1.063645,-0.57,-0.53,0.09
1.063922,-0.52,-0.51,0.10
1.064202,-0.49,-0.51,0.10
1.064496,-0.45,-0.50,0.11
1.064806,-0.39,-0.50,0.11
1.065211,-0.36,-0.49,0.11
1.065517,-0.31,-0.49,0.11
1.069682,-0.27,-0.49,0.13
1.070492,-0.24,-0.50,0.16
1.070893,-0.20,-0.47,0.20
1.072776,-0.17,-0.46,0.23
1.076345,-0.15,-0.45,0.24
1.076906,-0.12,-0.44,0.26
1.082066,-0.10,-0.43,0.26
1.083080,-0.07,-0.42,0.27
1.083457,-0.04,-0.43,0.26
1.085117,-0.04,-0.45,0.25
1.086170,-0.02,-0.47,0.23
